code_departement;fraction_precaire;fraction_modeste
01;0.55;0.88
02;0.63;0.91
03;0.67;0.93
04;0.67;0.92
05;0.53;0.88
06;0.43;0.80
07;0.67;0.94
08;0.64;0.93
09;0.74;0.95
10;0.63;0.92
11;0.74;0.95
12;0.67;0.94
13;0.61;0.89
14;0.6;0.91
15;0.65;0.93
16;0.7;0.93
17;0.67;0.93
18;0.61;0.91
19;0.68;0.93
21;0.58;0.90
22;0.71;0.95
23;0.65;0.92
24;0.67;0.93
25;0.64;0.91
26;0.7;0.94
27;0.59;0.90
28;0.57;0.87
29;0.69;0.95
2A;0.59;0.87
2B;0.63;0.89
30;0.77;0.95
31;0.63;0.90
32;0.64;0.91
33;0.55;0.88
34;0.68;0.93
35;0.61;0.92
36;0.61;0.92
37;0.67;0.93
38;0.6;0.90
39;0.64;0.91
40;0.64;0.92
41;0.61;0.92
42;0.63;0.92
43;0.68;0.93
44;0.62;0.91
45;0.61;0.91
46;0.7;0.94
47;0.72;0.94
48;0.59;0.89
49;0.56;0.87
50;0.59;0.90
51;0.51;0.85
52;0.6;0.90
53;0.6;0.92
54;0.6;0.89
55;0.67;0.92
56;0.66;0.94
57;0.61;0.89
58;0.63;0.92
59;0.63;0.92
60;0.55;0.87
61;0.63;0.92
62;0.66;0.93
63;0.59;0.90
64;0.6;0.90
65;0.66;0.93
66;0.72;0.94
67;0.61;0.89
68;0.61;0.90
69;0.58;0.89
70;0.66;0.93
71;0.61;0.91
72;0.61;0.92
73;0.53;0.87
74;0.52;0.85
75;0.51;0.80
76;0.54;0.87
77;0.62;0.92
78;0.53;0.87
79;0.62;0.93
80;0.64;0.91
81;0.74;0.96
82;0.77;0.96
83;0.62;0.90
84;0.7;0.94
85;0.63;0.94
86;0.65;0.92
87;0.63;0.92
88;0.62;0.91
89;0.68;0.93
90;0.64;0.90
91;0.55;0.89
92;0.46;0.82
93;0.62;0.90
94;0.53;0.86
95;0.58;0.89
971;0.8;0.94
972;0.8;0.94
973;0.8;0.94
974;0.8;0.94
975;0.8;0.94
976;0.8;0.94
